nome_personagem,altura_cm,massa_kg,genero,planeta_natal,especie,qtd_filmes,qtd_naves_distintas,qtd_solicitacoes,unidades_vendidas_total,receita_total_reais
Boba Fett,183,78.2,male,Kamino,N/I,3,1,2,143,1344.74
Han Solo,180,80.0,male,Corellia,N/I,3,2,4,110,1943.07
Palpatine,170,75.0,male,Naboo,N/I,5,0,2,34,4247.82
C-3PO,167,75.0,,Tatooine,Droid,6,0,2,25,1857.37
Leia Organa,150,49.0,female,Alderaan,N/I,4,0,2,131,5472.27
R2-D2,96,32.0,,Naboo,Droid,6,0,2,26,900.74
Chewbacca,228,112.0,male,Kashyyyk,Wookie,4,2,2,106,1757.12
Obi-Wan Kenobi,182,77.0,male,Stewjon,N/I,6,5,1,136,1554.98
Lando Calrissian,177,79.0,male,Socorro,N/I,2,1,1,94,4832.85
Luke Skywalker,172,77.0,male,Tatooine,N/I,4,2,5,183,2914.15
Yoda,66,17.0,male,unknown,Yoda's species,5,0,2,181,4827.73
Darth Vader,202,136.0,male,Tatooine,N/I,4,1,2,200,3550.79
